CpuMaxMemory,EpLenMean,EpRewMean,GpuMaxMemory,IPS_total,Iter,Misc/FrameRewMean,Misc/InteractCount,Misc/TimeElapsed,Opt/approxkl,Opt/clipfrac,Opt/entropy,Opt/loss_pi,Opt/loss_vf,Opt/negent,Opt/pg,Opt/pi_kl,VFStats/AdvMean,VFStats/AdvStd,VFStats/EV,VFStats/VpredMean,VFStats/VpredStd,VFStats/VtargMean,VFStats/VtargStd,del_time,wait_optimization,scaled/pol_distance,scaled/vf_aux,scaled/vf_true,unscaled/pol_distance,unscaled/vf_aux,unscaled/vf_true
2882788000.0,63.125,1.5,6178611712.0,2455.9641852507293,0.0,0.003662109375,16384.0,6.671107053756714,0.008494334295392036,0.13714599609375,2.698261022567749,-0.02642831578850746,0.20302166044712067,-0.026982611045241356,0.0005542933940887451,0.0,0.0711997002363205,0.605682373046875,-0.0016687731419477991,-0.05853375419974327,0.024456385523080826,0.012665943242609501,0.6051777005195618,6.671107053756714,3.8146631717681885,,,,,,
3081412000.0,138.18571428571428,1.5714285373687744,6381200384.0,2579.949060485174,1.0,0.0030517578125,32768.0,13.021620035171509,0.0011230623349547386,0.0,2.705648422241211,-0.027124255895614624,0.15127158164978027,-0.027056485414505005,-6.776861846446991e-05,0.0,0.05581720918416977,0.5479803681373596,0.0035860223964719884,-0.0023214397951960564,0.013457424938678741,0.05349576845765114,0.5489655137062073,6.350512981414795,3.8193199634552,,,,,,
3279764000.0,174.71428571428572,1.836734652519226,6381200384.0,2544.8352592128126,2.0,0.0042724609375,49152.0,19.459757804870605,0.0002620509476400912,0.0,2.7059412002563477,-0.02703242003917694,0.18295876681804657,-0.027059415355324745,2.69915908575058e-05,0.0,0.06300293654203415,0.6042790412902832,0.0025764102463023963,0.05900142714381218,0.016287602484226227,0.12200435996055603,0.6050589680671692,6.438137769699097,3.8390700817108154,,,,,,
3478140000.0,390.3,1.7999999523162842,6381200384.0,2528.5333002865154,3.0,0.003662109375,65536.0,25.939403533935547,0.004123769700527191,0.06622314453125,2.6934828758239746,-0.026825139299035072,0.17403163015842438,-0.026934824883937836,0.00010968837887048721,0.0,0.05372503399848938,0.5876222252845764,0.0002385421440739277,0.19211113452911377,0.02863992191851139,0.24583618342876434,0.5876922607421875,6.479645729064941,3.8484323024749756,,,,,,
3676428000.0,464.43,1.2999999523162842,6381200384.0,2477.5572143954523,4.0,0.00244140625,81920.0,32.55236887931824,0.002312447177246213,0.01953125,2.6835029125213623,-0.0274372436106205,0.10066746175289154,-0.026835031807422638,-0.0006022145971655846,0.0,0.024181339889764786,0.4479590952396393,0.010489460737400647,0.1870330572128296,0.03036065399646759,0.21121439337730408,0.45032715797424316,6.61296534538269,3.86841082572937,,,,,,
3874224000.0,491.49,1.2000000476837158,6381200384.0,2632.903410597555,5.0,0.0042724609375,98304.0,38.77515697479248,0.00409576715901494,0.0491943359375,2.653233051300049,-0.025661926716566086,0.19783346354961395,-0.026532327756285667,0.0008704066276550293,0.0,0.06417618691921234,0.6233436465263367,0.008701732253975303,0.21231402456760406,0.0407690554857254,0.2764902114868164,0.6260735392570496,6.222788095474243,3.877917766571045,,,,,,
4072144000.0,448.3,1.399999976158142,6381200384.0,2597.8549212487096,6.0,0.0018310546875,114688.0,45.08189868927002,0.0043474663980305195,0.03240966796875,2.693632125854492,-0.026846442371606827,0.0897437110543251,-0.02693631872534752,8.987728506326675e-05,0.0,0.026038575917482376,0.42221638560295105,-0.0010496981850076637,0.22401656210422516,0.03804487735033035,0.25005513429641724,0.42199498414993286,6.306741714477539,3.8950912952423096,,,,,,
4270992000.0,476.96,1.3300000429153442,6381200384.0,2531.587401602302,7.0,0.001220703125,131072.0,51.55372738838196,0.0007722604786977172,0.0,2.6957345008850098,-0.026609428226947784,0.058727990835905075,-0.02695734240114689,0.00034791789948940277,0.0,0.010356557555496693,0.3410630226135254,0.01806210137244535,0.2247905731201172,0.030524559319019318,0.2351471483707428,0.3441855311393738,6.4718286991119385,3.9084060192108154,,,,,,
4467960000.0,477.59,0.9300000071525574,6381200384.0,2563.3346259272903,8.0,0.0030517578125,147456.0,57.945401668548584,0.0006960011087357998,0.0,2.6884825229644775,-0.026980308815836906,0.1457059383392334,-0.02688482590019703,-9.548105299472809e-05,0.0,0.04412670060992241,0.5390759110450745,0.011968073774356935,0.24019907414913177,0.03384317457675934,0.2843257784843445,0.5423309803009033,6.391674280166626,3.9137933254241943,,,,,,
4665880000.0,497.06,1.2300000190734863,6381200384.0,2568.9195575892077,9.0,0.0030517578125,163840.0,64.32318019866943,0.003253711387515068,0.00714111328125,2.652660369873047,-0.026716221123933792,0.1269511580467224,-0.02652660384774208,-0.00018961820751428604,0.0,0.03550831228494644,0.4949301481246948,0.016501458545458036,0.31092727184295654,0.04863844811916351,0.3464355766773224,0.49906495213508606,6.37777853012085,3.9192869663238525,,,,,,
4863860000.0,454.48,1.5,6381200384.0,2492.255768897949,10.0,0.0030517578125,180224.0,70.89714431762695,0.00352680217474699,0.04498291015625,2.6120047569274902,-0.024757705628871918,0.14402613043785095,-0.026120049878954887,0.0013623405247926712,0.0,0.027141854166984558,0.5330371260643005,0.009186463114156607,0.44011205434799194,0.056120388209819794,0.4672539234161377,0.5355024337768555,6.5739641189575195,3.9307966232299805,,,,,,
